id	description	en	local
		Select the 'Power' logic type to view 'Power' logic nodes.	「動力「のノードを見るために「動力」ロジックタイプを選択します.
		Place a wedge in the highlighted space.\n\nYou can change a component's rotation by hovering over different adjacent surfaces in the vehicle.	強調表示された場所に斜めブロックを置きます.\n\n乗り物の異なる面にカーソルを合わせることで, 部品の向きを変えることができます.
		Click on the wedge block in the component list to start building with it.	部品一覧から斜めブロックをクリックして, 斜めブロックでブロックの設置を開始します.
		Place the next five wedges.\n\nMultiple wedges can be placed at once by dragging.	次の5つの斜めブロックを設置します.\n\nドラッグすると複数のブロックを一度に設置できます.
		You can also use the following keys to rotate and flip the component.\n\n[j] rotates on the x axis\n[k] rotates on the y axis\n[l] rotates on the z axis\n\n[u] flips on the x axis\n[i] flips on the y axis\n[o] flips on the z axis\n\n[p] toggles the rotation display	次のキーで部品の回転や反転が可能です.\n\n[j] でx軸回転\n[k] でy軸回転\n[l] でz軸回転\n\n[u] でx軸反転\n[i] でy軸反転\n[o] でz軸反転\n\n[p] でブロック操作ガイドを表示/非表示にできます.
		Click on the pyramid block in the component list to start building with it.	部品一覧から三角ブロックをクリックして, 三角ブロックでブロックの設置を開始します.
		First, connect the button in front of seat to the engine's 'on/off' node.\n\nThis will allow you to switch the engine on by pressing the button.\n\nClick on one of the flashing logic nodes to select it and then drag and release while hovering over the node you want to connect it to.	始めに, 座席前方のボタンとエンジンの「オン/オフ」のノードを接続します.\n\nこれにより, ボタンを押してエンジンを始動できます.\n\n点滅しているロジックノードの1つをドラッグで選択して, 接続したいもう1つノードの上でドロップしてノードを接続します.
		Next, connect the 'Axis 2 [$[action_up]]/[$[action_down]]' node from the seat to the engine's 'throttle in' node.\n\nThis will allow you to apply throttle power to the engine by pressing [$[action_up]] and [$[action_down]].\n\nClick on one of the flashing logic nodes to select it and then drag and release while hovering over the node you want to connect it to.	次に, 座席の「軸2 [$[action_up]]/[$[action_down]] 」ノードとエンジンの「スロットル」ノードを接続します.\n\nこれにより, [$[action_up]] と [$[action_down]] を押してエンジンのスロットルを調整できます.\n\n点滅しているロジックノードの1つをドラッグで選択して, 接続したいもう1つノードの上でドロップしてノードを接続します.
		Next, connect the 'Axis 1 [$[action_left]]/[$[action_right]]' node from the seat to one rudder's 'rotation input' node.\n\nThis will allow you to apply a turning force by pressing [$[action_left]] or [$[action_right]].	次に, 座席の「軸1 [$[action_left]]/[$[action_right]] 」ノードと1つ目のラダーの「回転」ノードを接続します.\n\nこれにより, [$[action_left]] と [$[action_right]] を押して乗り物を進行方向を曲げられます.
		Next, connect the 'Axis 1 [$[action_left]]/[$[action_right]]' node from the seat to the the 'rotation input' node in the second rudder.\n\nThis will allow you to apply a turning force by pressing [$[action_left]] or [$[action_right]].	次に, 座席の「軸1 [$[action_left]]/[$[action_right]] 」ノードと2つ目のラダーの「回転」ノードを接続します.\n\nこれにより, [$[action_left]] と [$[action_right]] を押してボートの進行方向を曲げられます.
		Finally, connect the power between the engine and propeller.\n\nThis will pass the power created by the engine through to the propeller and allow you to move the boat forward and back with the throttle.	最後に, エンジンとスクリューに動力を接続します.\n\nこれにより, エンジンの動力がスクリュー伝わり, スロットルを調整して, ボートを前後に動かせます.
		Click on the large '+' button to create a new save file.	大きな「+」ボタンをクリックして, 新規に乗り物を保存します.
		Type in a name for your boat.\nThen click on the 'Save' button.	ボートの名前を入力します.\n次に「保存」ボタンをクリックします.
		Click on the 'Save' button in the top bar to start saving your boat.	上部バーの「保存」ボタンをクリックしてボートの保存を開始します.
		Press [$[action_missions]] again to close the missions screen.	[$[action_missions]] をもう一度押してミッション画面を閉じます.
		You have a new mission.\nPress [$[action_missions]] to bring up the missions screen and get more information.	新規ミッションがあります.\n[$[action_missions]] を押してミッション画面を表示して, 詳細な情報を確認します.t
		Click on the 'Missions' button to see an overview of all currently available missions.	「ミッション」ボタンをクリックして, 現在受諾可能なミッションの概要を確認します.
		Click the mission overview to show more detailed information about it.	ミッション概要をクリックしてミッションの詳細情報を確認します.
		Click the 'Toggle Active' button to make this the active mission.\n\nThe mission will then be shown on the map and in game.	「追跡オン/オフ」をクリックしてミッションを追跡します.\n\n追跡するミッションはマップ画面とゲーム中に表示されます.
		Press [$[action_interact_right]] when looking at the crate to pick it up.	木箱に視点を合わせながら [$[action_interact_right]] を押して木箱を持ち運びます.
		Press [$[action_interact_right]] (hold and release to throw) to place the crate into your boat.	[$[action_interact_right]] を押して (長押しして離すと投げられます.) 木箱をボートに置きます.
		Press [$[action_use_seat]] when looking at your pilot seat to start driving your boat.	操縦席に視点を合わせながら [$[action_use_seat]] を押してボートの運転を開始します.
		Press [$[action_camera_mode]] to enter third-person view while in a seat.	着席中に [$[action_camera_mode]] を押して三人称視点に切り替えます.
		Press [$[action_camera_mode]] to return to first-person view.	[$[action_camera_mode]] を押して一人称視点に戻します.
		Use [$[action_up]][$[action_left]][$[action_down]][$[action_right]] to drive to the target location.	[$[action_up]][$[action_left]][$[action_down]][$[action_right]] でボートを操縦して目的地に向かいます.
		Press [$[action_interact_right]] while looking at the engine on/off button to turn on the engine.	エンジンオン/オフボタンに視点を合わせながら [$[action_interact_right]] を押してエンジンを始動します.
		Press [$[action_use_seat]] to exit your vehicle.	[$[action_use_seat]] を押してボートから降ります.
		Press [$[action_interact_right]] to pick up the crate.	[$[action_interact_right]] を押して木箱を持ち運びます.
		Press [$[action_interact_right]] to place the crate in the drop zone.	[$[action_interact_right]] を押して配達地点に木箱を置きます.
		Click the sleep button to fast-forward time.	睡眠ボタンを押して時間を早送りします.
		Press [$[action_use_seat]] while looking at your bed to go to sleep.	ベッドに視点を合わせながら [$[action_use_seat]] を押して寝ます.
		Bed	ベッド
		Return to your home base.	拠点に戻ります.
		Home	拠点
		Welcome to Stormworks	Stormworksにようこそ
		FIX YOUR BOAT	ボートを修理しよう
		Your boat was damaged in a recent storm. You will need to use a workbench to fix it.	最近の嵐でボートが壊れてしまいました. 作業台を使って修理する必要があるでしょう.
		Workbench	作業台
		VEHICLE EDITOR	乗り物エディター
		This is the vehicle editor, where you can fix your boat.	これは乗り物エディターです. ここでボートを修理します.
		ROTATE THE CAMERA	カメラの回転
		You can rotate the camera around in the vehicle editor by holding the RIGHT MOUSE BUTTON while dragging, or by holding [shift] and LEFT MOUSE BUTTON.	右クリックまたはシフトキーを押しながら左クリックしながらドラッグして乗り物エディター内でカメラを回転できます.
		MOVE THE CAMERA	カメラの移動
		You can pan the camera around in the vehicle editor by dragging while holding \nMIDDLE MOUSE BUTTON\nor\n[alt] and LEFT MOUSE BUTTON.	中クリックまたは [alt] を押しながら左クリックしながらドラッグして乗り物エディター内でカメラを移動できます.
		ZOOM THE CAMERA	カメラのズーム
		You can zoom the camera in and out by using the MOUSE SCROLL WHEEL\nor\nthe [-] and [=] keys.	マウスホイールまたは [-] と [=] でカメラの拡大と縮小ができます.
		RESET THE CAMERA	カメラのリセット
		Open the camera settings by pressing the 'Camera' button.	「カメラ」ボタンを押してカメラ設定開きます.
		Return the camera to its original position by pressing the 'Reset Camera' button.	「カメラリセット」ボタンを押してカメラを元の位置に戻します.
		PLACE BLOCK (1/3)	ブロックの設置 (1/3)
		Place a block in the highlighted space.\n\nMouse over an adjacent component to choose what to connect the block to.\n\nThen click to place it.	強調表示された場所にブロックを置きます.\n\n乗り物のカーソルを合わせて設置するブロックをプレビューします.\n\n次に, クリックして設置します.
		PLACE BLOCK (2/3)	ブロックの設置 (2/3)
		PLACE BLOCK (3/3)	ブロックの設置 (3/3)
		PLACE BLOCKS	ブロックの複数設置
		Place the next three blocks.\n\nMultiple blocks can be placed at once by dragging.	次の3つのブロックを設置します.\n\nドラッグすると複数のブロックを一度に設置できます.
		PLACE WEDGE	斜めブロックの設置
		PLACE WEDGES	斜めブロックの複数設置
		PLACE PYRAMID	三角ブロックの設置
		CONNECT LOGIC (1/5)	ロジックの接続 (1/5)
		CONNECT LOGIC (2/5)	ロジックの接続 (2/5)
		CONNECT LOGIC (3/5)	ロジックの接続 (3/5)
		CONNECT LOGIC (4/5)	ロジックの接続 (4/5)
		CONNECT LOGIC (5/5)	ロジックの接続 (5/5)
		SAVE BOAT	ボートの保存
		Save your boat design so that you can come back to it later.	ボートを保存して後で読み込めるようにします.
		SPAWN BOAT	ボートのスポーン
		Your boat is ready to go.\n\nClick on the 'Spawn' button to build it and take it for a spin.	ボートの準備ができています.\n\n「スポーン」ボタンをクリックしてボートをスポーンさせて出発しましょう.
		SELECT ACTIVE MISSION	追跡するミッションの選択
		COMPLETE MISSION	ミッション完了
		RETURN TO BASE	拠点に帰還
		Press [f] to focus on hovered mouse position	[f] を押してカーソルの位置に視点を合わせます.
		Press [f] to focus on selected object	[f] を押して選択したオブジェクトに視点を合わせます.
		Press [lmb] to place object	[lmb] を押してオブジェクトを置きます.
		Hold [shift] to place multiple	[shift] を長押しして複数設置します.
		Press [enter] to cancel	[enter] を押してキャンセルします.
		Press [del] to delete object	[del] を押してオブジェクトを削除します.
		Ocean	海洋
		1km x 1km of empty ocean.	1km四方の何も無い海洋です.
		Hospital	病院
		Small hospital.	小さな病院です.
		Science	研究所
		Small science and research outpost.	小さな研究拠点です.
		Police	警察署
		Small police station.	小さな警察署です.
		Airport	空港
		Large runway in the shadow of an impenetrable plateau.	登れない台地にある大きな滑走路です.
		Brinkfield	ブリンクフィールド原子力発電所
		Nuclear power plant with dock, reactor rooms and underground disposal pool.	港がある原子力発電所です. 原子炉と地下に核廃棄プールがあります.
		Fishing Village	漁村
		Small fishing village with mountain, multiple sea stacks and a rocky peninsula.	山の麓にある小さな漁村です. いくつもの海食柱や岩の多い半島があります.
		Wind Turbine	洋上風力発電所
		Large offshore wind turbine.	大きな洋上風力発電所です.
		Small Oil Rig	小さな石油採掘所
		Medium Oil Rig	中型石油採掘所
		Wind Farm	風力発電所
		Multiple wind turbines atop a gentle hillside.	なだらかな丘の上にいくつもの風力発電機があります.
		Oil Refinery	石油精製所
		An industrial oil refinery with boat access.	ボートで到達可能な石油精製所です.
		Lighthouse	灯台
		An unmanned lighthouse surrounded by hazardous rock formations.	危険な岩礁に囲まれた無人の灯台です.
		Observatory	天文台
		An astronomical observatory research base.	天文観測拠点です.
		Sea Fort	海洋砦
		An abandoned military sea fort that has been reopened as a tourist hotspot.	観光スポットとして活用されている軍事用海洋砦です.
		Mainland Cliff	本土の崖
		Small cliff at the corner of the mainland.	本土の端にある小さな崖です.
		Mainland Village	本土の村
		Small fishing village near a rocky bay.	岩海岸の近くにある小さな漁村です.
		Mainland Peninsula	本土の半島
		Wall of sharp rocks extending out into the ocean.	海に向かって伸びる鋭い岩壁です.
		Mainland Tunnel	本土のトンネル
		A short continuing section of rail and road tunnels leading away from the mainland.	本土から離れる方面の線路と道路にかかる短いトンネルです.
		Mainland Junction	本土の分岐点
		The junction point on the mainland where the trainline to the Arctic begins.	本土の分岐点です. ここから北極へ繋がる路線が始まります.
		Mainland Road	本土の道路
		Coastal road with a natural tunnel through a rock face.	自然に形成された岩のトンネルを通る, 海岸沿いの道です.
		Mainland Quarry	本土の採掘場
		Large quarry with mine, natural rock bridge and small castle ruin.	大きな採掘場です. 鉱山, 自然に形成された岩の橋, 小さな城跡があります.
		Mainland Beach	本土の砂浜
		Small beach with several rock stacks.	いくつかの海食柱がある小さな砂浜です.
		Mainland Cliff 2	本土の崖2
		Key Cottage	キー諸島のコテージ
		Small island with lone cottage on the key.	コテージがぽつんとある, キー諸島の小さな島です.
		Key Chemical Plant	キー諸島の化学工場
		Small island with chemical plant on the key.	化学工場があるキー諸島の小さな島です.
		Key Lighthouse OB	キー諸島の灯台
		Small island with lighthouse on the key.	灯台があるキー諸島のの小さな島です.
		Uninhabited 1	無人島1
		Small island with cliff edges.	崖がある小さな島です.
		Uninhabited 2	無人島2
		Smooth climb to a rocky cliffside.	滑らかな傾斜が岩が多い崖に続いています.
		Uninhabited 3	無人島3
		Two small islands surrounded by cliffs. Aerial access only.	崖に囲まれた2つの小さな島です. 空路でのみ到達可能です.
		Uninhabited 4	無人島4
		Multiple scattered sea stacks.	いくつもの海食柱が点在しています.
		Uninhabited 5	無人島5
		Relatively flat island with central rocky outcrop.	中央に岩場がある比較的平坦な島です.
		Uninhabited 6	無人島6
		Rocky shoreline with a small bay.	小さな海岸がある岩の多い海岸線があります.
		Uninhabited 7	無人島7
		High cliffs and a bay with 2 narrow entrances.	高い崖と2箇所の狭い入り口がある海岸があります.
		Ruins 1	遺跡1
		Rocky coastline with small cave, ancient ruin and sheltered beach.	小さな洞窟, 古代遺跡, 守られた海岸がある岩の多い海岸線があります.
		Ruins 2	遺跡２
		Sheltered cove, ancient ruin, cliff face connected by natural arch.	守られた入り江, 古代遺跡, 自然に形成されたアーチが繋がる崖があります.
		Seabed Rock Formation 1	海底の岩礁1
		A rocky formation with cave on the ocean bed.	洞窟がある海底の岩礁です.
		Seabed Rock Formation 2	海底の岩礁2
		Two small rock formations on the ocean bed.	2つの小さな海底の岩礁です.
		Seabed Rock Formation 3	海底の岩礁3
		Multiple scattered rock stacks on the ocean bed.	いくつもの海食柱が点在している海底の岩礁です.
		Seabed Rock Formation 4	海底の岩礁4
		A flat rocky formation with central mound on the ocean bed.	中央に塚がある平らな海底の岩礁です.
		Seabed Rock Formation 5	海底の岩礁5
		Seabed Rock Formation 6	海底の岩礁6
		Small rocky formation on the ocean bed.	小さな海底の岩礁です.
		Seabed Rock Formation 7	海底の岩礁7
		Several rocky stacks on the ocean bed.	いくつかの海食柱がある海底の岩礁です.
		Seabed Caves	海底洞窟
		A system of underwater caves.	大きな海底洞窟です.
		Seabed Shipwreck	難破船
		A sunken iron-hulled merchant vessel.	海底に沈んだ商船です.
		Seabed Shipwreck 2	難破船2
		A sunken historic timber caravel.	海底に沈んだ歴史的な木造のカラベル船です.
		Ice	氷
		Ice Variant	氷の種類
		Ice Scale	氷の大きさ
		ADD ICE	氷を追加
		Ice cannot be picked up but can be moved using vehicles. Its size and type can be set in the properties window.	氷は持ち運ぶことはできませんが, 乗り物で移動させることはできます. 氷のサイズと種類はプロパティウィンドウで設定できます.
		Arctic Ocean	北極海
		1km x 1km of empty Arctic ocean.	1km四方の何も無い北極海です.
		Arctic Oil Refinery	北極の石油精製所
		An oil refinery with rail access.	線路が通っている石油精製所です.
		Arctic Ship Breaking Yard	北極の船舶解体所
		A ship breaking yard with dry dock where boats are brought to be scrapped.	船を解体するための乾ドックがある船舶解体所です.
		Arctic Research Facility	北極の研究施設
		An Arctic survey base situated on top of a large iceberg.	大きな氷山の上にある北極の調査拠点です.
		Arctic Mainland Rocks	北極の本土の岩石
		A rocky coastal area surrounded by multiple small icebergs.	いくつもの小さな氷山に囲まれた岩だらけの海岸です.
		Arctic Oil Platform	北極の石油プラットフォーム
		An oil platform built on the edge of the Arctic mainland, with road access to a train terminal.	北極の本土の端に建てられた石油プラットフォームです.  鉄道ターミナルがあります.
		Arctic Mainland Hill	北極の本土の丘
		A snow-covered rocky hill. Small section of train line with junction boxes.	雪に覆われた岩の丘です. 線路の分岐点があります.
		Arctic Mainland Outcrop	北極の本土の露頭
		Southern end of an outcrop off the coast of the Arctic mainland.	北極の本土の南の端にある, 海岸線の露頭です.
		Arctic Mainland Outpost	北極の本土の基地
		An Arctic research outpost, large inland lake and train terminal with road access.	北極の調査基地です. 大きな池と鉄道ターミナルがあります.
		Arctic Fishing Village	北極の漁村
		A small fishing village with a dock and a un-manned lighthouse.	港と無人の灯台がある小さな漁村です.
		Arctic Mainland Arch	北極の本土のアーチ
		Eroded rocks form a snow-covered natural arch.	侵食された岩が自然のアーチを形成しており, そこに雪が被っています.
		Arctic Mainland South	北極の本土の南側
		Southern point of the Arctic mainland where the incoming trainline splits.	北極の本土の南側です. ここで線路が分岐します.
		Arctic Mainland Coast	北極の本土の海岸
		A small section of coastline with multiple small icebergs offshore.	沖合にいくつもの小さな氷山がある海岸線の一部です.
		Arctic Container Depot	北極のコンテナ物流拠点
		A large shipping container depot with several docking areas and trainline access.	いくつかの波止場があり, 線路が通っている大きなコンテナの海上輸送物流拠点です.
		Arctic Underwater Mining	北極の水中鉱山
		An underwater drilling and mining facility with dock and trainline access.	港があり, 線路が通っている水中の採掘施設です.
		Multiplayer Island Base	マルチ島拠点
		A large island complete with dock and airstrip, both featuring with two workbenches.	大きな港と滑走路があり, それぞれ2つずつ作業台を備えています.
		Ice Shelf 1	棚氷1
		An ice shelf with multiple large icebergs.	いくつもの大きな氷山がある棚氷です.
		Ice Shelf 2	棚氷2
		An ice shelf with narrow passages between cliffs of ice.	いくつもの大きな氷山がある棚氷です.
		Ice Shelf 3	棚氷3
		An ice shelf with multiple large icebergs.	いくつもの大きな氷山がある棚氷です.
		Ice Shelf 4	棚氷4
		An ice shelf with multiple large icebergs.	いくつもの大きな氷山がある棚氷です.
		Ice Shelf 5	棚氷5
		An ice shelf with multiple large icebergs.	いくつもの大きな氷山がある棚氷です.
		Ice Shelf 6	棚氷6
		An ice shelf with multiple large icebergs.	いくつもの大きな氷山がある棚氷です.
		Ice Shelf 7	棚氷7
		An ice shelf with multiple large icebergs.	いくつもの大きな氷山がある棚氷です.
		Ice Shelf 8	棚氷8
		An ice shelf with two very large icebergs.	2つの非常に大きな氷山がある棚氷です.
		Ice Shelf 9	棚氷9
		A dense ice shelf with many large icebergs.	沢山の大きな氷山がある密集した棚氷です.
		Ice Shelf 10	棚氷10
		Two small icebergs.	2つの小さな氷山です.
		Ice Shelf 11	棚氷11
		An ice shelf with multiple large icebergs.	いくつもの大きな氷山がある棚氷です.
		Ice Shelf 12	棚氷12
		An ice shelf with multiple large icebergs.	いくつもの大きな氷山がある棚氷です.
		Volcano Northwest	火山の北西
		Northwest region of a dormant volcano.	休火山の北西の地域です.
		Volcano North	火山の北
		Northern region of a dormant volcano.	休火山の北の地域です.
		Volcano Northeast	火山の北東
		Northeast region of a dormant volcano.	休火山の北東の地域です.
		Volcano West	火山の西
		Western region of a dormant volcano.	休火山の西の地域です.
		Volcano Center	火山の中央
		Central region of a dormant volcano.	休火山の中央の地域です.
		Volcano East	火山の東
		Eastern region of a dormant volcano.	休火山の東の地域です.
		Volcano Southwest	火山の南西
		Southwest region of a dormant volcano.	休火山の南西の地域です.
		Volcano South	火山の南
		Southern region of a dormant volcano.	休火山の南の地域です.
		Volcano Southeast	火山の南東
		Southeast region of a dormant volcano.	休火山の南東の地域です.
		Special Outfit	特殊装備
		None	なし
		Diving	ダイビングスーツ
		Firefighter	防火服
		Scuba	スキューバ装備
		Parachute	パラシュート
		Arctic	防寒着
		SET OBJECTIVE	目的の設定
		ADD COMPONENTS TO MISSION	ミッションにコンポーネントを追加
		IN MISSON	ミッション中
		SET TRIGGER	トリガーの設定
		ZONES	ゾーン
		ZONE	ゾーン
		VEHICLE BUTTONS	乗り物のボタン
		VEHICLE BUTTON	乗り物のボタン
		OBJECTIVES	目的
		OBJECTIVE	目的
		SET ACTION COMPONENTS	アクションコンポーネントの設定
		DEPENDENCIES	関係性
		SET ACTION OBJECTIVES	アクション目的の設定
		Uploading to workshop. Please wait...	Steamワークショップにアップロードしています. しばらくお待ち下さい...
		Loading. Please wait...	読み込み中です. しばらくお待ち下さい...
		Your addon has errors that must be fixed in order to upload to the Steam workshop:\n\n	このアドオンにはエラーがあり, Steamワークショップにアップロードするにはエラーを修正する必要があります:\n\n
		CANNOT UPLOAD TO WORKSHOP	Steamワークショップにアップロードできません
		Your mission has errors that must be fixed before it can be tested:\n\n	このミッションにはエラーがあり, テストするにはエラーを修正する必要があります:\n\n
		CANNOT SPAWN MISSION	ミッションをスポーンできません
		WORKSHOP UPLOAD FAILED	Steamワークショップへのアップロードに失敗しました
		COMPONENTS OVERLAPPING	重複するコンポーネント
		Your addon has failed to upload to the Steam workshop.	このアドオンをSteamワークショップへアップロードするのに失敗しました.
		Your workshop addon has failed to update.	アドオンの更新に失敗しました.
		ADDON UPLOAD COMPLETE	アドオンのアップロード完了
		Your addon was successfully uploaded to the Steam workshop.\n\n We recommend heading to your addon's workshop page to add more information about the content you've included.\n\n Any vehicles used in your addon have been included as part of the upload. Players will not need to separately subscribe to any of these vehicles.	このアドオンは正常にSteamワークショップにアップロードされました.\n\nこのアドオンのSteamワークショップのページにアクセスして, 追加の情報を付け加えることをお勧めします.\n\nこのアドオンに含まれる乗り物は一緒にアドオンに同梱されていますので, このアドオンを利用するプレイヤーは別途乗り物をサブスクライブする必要はありません.
		ADDON UPDATE COMPLETE	アドオンの更新完了
		Your addon was updated successfully.\n\nYou can customise the changelog for this update by heading to your addon's workshop page to let your subscribers know what's new.	このアドオンは正常に更新されました.\n\nこのアドオンの利用者に変更点を知らせるために, このアドオンのSteamワークショップのページにアクセスして, この更新のチェンジログを編集することができます.
		missions	ミッション
		mission	ミッション
		objectives	目的
		objective	目的地
		triggers	トリガー
		trigger	トリガー
		This component is currently required by	現在このコンポーネントは以下のものが必須としています.
		Are you sure you want to delete it?	本当に削除して宜しいですか?
		Workshop upload must have a name	Steamワークショップにアップロードするには名前を付ける必要があります.
		Workshop upload must be renamed	Steamワークショップにアップロードするには名前を変更する必要があります.
		This addon includes the following	このアドオンは次のものを含んでいます.
		mission(s)	ミッション
		Please note that some missions in this addon will only naturally spawn if certain criteria are met(such as owning a specific type of island, or having unlocked fire equipment).	このアドオンのミッションのいくつかは特定の条件 (例えば, 特定の種類の島を所持している, 消防設備をアンロックしているなど) が満たされないと自然の発生しないものがあります.
		The author of this addon has tagged it as creative, so some or all included missions may be unsuitable for career mode.	このアドオンの作者はこれにクリエイティブのタグを付けていますので, いつかのミッションあるいは全てのミッションがキャリアモードに適していない可能性があります.
		(If you are the author of this addon, you can edit this description to add more details)	(あなたがこのアドオンの作者の場合, この説明を編集して詳細情報を加えられます.)
		Uploaded	アップロード
		to the Workshop.	Steamワークショップに
		Updated	アップロード
		Addon must have a name	アドオンを名付ける必要があります.
		Addon must be renamed	アドオンの改名する必要があります.
		MISSION OVERVIEW	ミッション概要
		No dependencies set.	関係性なし
		[no zone set]	[ゾーンなし]
		[no vehicle button set]	[乗り物のボタンなし]
		[no objective set]	[目的なし]
		[no buttons set]	[ボタンなし]
		[no flares set]	[発煙筒なし]
		[no fires set]	[炎なし]
		[no message set]	[メッセージなし]
		[no objectives set]	[目的なし]
		Loading vehicles...	乗り物を読み込み中...
		Saving game...	ゲームを保存中...
		Occupied	使用中
		Place Character In	キャラクターを入れる
		Pick Up Character	キャラクターを持ち運ぶ
		Store	格納する
		Equip	装備する
		Restock	補充する
		Swap to	入れ替える
		Release	離す
		Tap	タップ
		Grab	掴む
		Hold	持つ
		Tether	繋ぐ
		Structure	建物
		Vehicle	乗り物
		Return To Workbench	作業台に戻す
		Deceased	死亡
		Stop Following	誘導をやめる
		Follow	誘導する
		Purchase Property\n$	物件を購入\n$
		Purchase Property to Use	先にこの物件を購入して下さい.
		Not Available	利用不可
		Not Available When Carrying Someone	誰かを担いでいる時は使用できません.
		Spawning...	読み込み中...
		SAVE SELECTION	選択を保存
		SAVE VEHICLE	乗り物を保存
		DISABLED	無効
		X PLANE	X平面
		Y PLANE	Y平面
		Z PLANE	Z平面
		none set	未設定
		Fast-travel Location	テレポート場所
		CLICK TO TRAVEL HERE	クリックしてここにテレポート
		Property for sale	販売中の物件
		You are here	現在地
		CLICK TO TAKE TO WORKBENCH	クリックして作業台に移動させる
		Waypoint	ウェイポイント
		Fuel Location	燃料の場所
		exit bed	ベッドから出る
		change view	視点を変更
		Infinite	無限
		Are you sure you want to purchase this property?	この場所を購入しますか?
		You cannot afford to purchase this property at the moment	この場所を購入できる資金がありません.
		FAST TRAVEL	テレポート
		Are you sure you want to travel to this location?	この場所にテレポートしますか?
		Cancel	キャンセル
		Confirm	OK
		TAKE TO WORKBENCH	作業台に移動させる
		Are you sure you want to take this vehicle back to the workbench?	この乗り物を作業台に戻しますか?
		Are you sure you want to spawn this mission?	このミッションを発生させますか?
		Only missions available on the server are possible to spawn.	サーバーで発生させられるミッションのみ利用可能です.
		SPAWN MISSION	ミッションの発生
		REMOVE MISSION	ミッションの削除
		BEGIN RESEARCH	研究の開始
		Are you sure you want to begin researching ###?\n\nThis will spend some of your Research Points and cannot be cancelled.	### の研究を開始しますか?\n\n研究は研究ポイントいくらか消費し, キャンセルはできません.
		Are you sure you want to remove this mission?\n\nThis will cause all spawned objects and vehicles created by this mission to be removed from the world.\n\n(You can respawn this mission from the mission selector)	このミッションを削除しますか?\n\nこのミッションで読み込まれた全てのオブジェクトと乗り物がワールドから削除されます.\n\n(ミッションセレクターからミッションの再発生できます.)
		Map	マップ
		Missions	ミッション
		Research	研究
		No missions available. Sleep in a bed to fast-forward, or click the (+) button to manually spawn a mission.	ミッションはありません. ベッドで寝て時間を早送りするか, 「+」ボタンを押してミッションを手動で発生させられます.
